country,iso,region,income_group,internet_pct,has_election,freedom_status,freedom_score,election_type
American Samoa,ASM,East Asia & Pacific,High income,0,FALSE,,,
Northern Mariana Islands,MNP,East Asia & Pacific,High income,0,FALSE,,,
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,0,FALSE,,,
North Korea,PRK,,,0,TRUE,Not Free,3,Parliamentary Election
Central African Republic,CAF,Sub-Saharan Africa,Low income,7.51,FALSE,,,
Uganda,UGA,Sub-Saharan Africa,Low income,8.95,FALSE,,,
South Sudan,SSD,Sub-Saharan Africa,Low income,9.27,TRUE,Not Free,1,General Election
Burundi,BDI,Sub-Saharan Africa,Low income,11.08,FALSE,,,
Chad,TCD,Sub-Saharan Africa,Low income,13.18,TRUE,Not Free,15,Presidential / Parliament Election
Ethiopia,ETH,Sub-Saharan Africa,Low income,16.7,FALSE,,,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,17.02,TRUE,Not Free,27,General Election
Afghanistan,AFG,South Asia,Low income,17.71,FALSE,,,
Malawi,MWI,Sub-Saharan Africa,Low income,17.99,FALSE,,,
Mozambique,MOZ,Sub-Saharan Africa,Low income,19.84,TRUE,Partly Free,44,General Election
Eritrea,ERI,Sub-Saharan Africa,Low income,20.01,FALSE,,,
Madagascar,MDG,Sub-Saharan Africa,Low income,20.37,TRUE,Partly Free,58,Legislative Election
Sierra Leone,SLE,Sub-Saharan Africa,Low income,20.64,FALSE,,,
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,21.25,FALSE,,,
Niger,NER,Sub-Saharan Africa,Low income,23.19,FALSE,,,
Liberia,LBR,Sub-Saharan Africa,Low income,23.5,FALSE,,,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,24.07,FALSE,,,
Sudan,SDN,Sub-Saharan Africa,Low income,26.44,FALSE,,,
Guinea,GIN,Sub-Saharan Africa,Lower middle income,26.5,FALSE,,,
Palau,PLW,East Asia & Pacific,Upper middle income,26.97,TRUE,Free,92,General Election
Pakistan,PAK,South Asia,Lower middle income,27.38,TRUE,Partly Free,35,General Election
Somalia,SOM,Sub-Saharan Africa,Low income,27.6,FALSE,,,
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,29.06,FALSE,,,
